question,expected_answer,expected_source,expected_keywords,question_type
What is the return period?,Customers can return most products within 30 days of delivery.,return_policy.md,30 days;return;delivery,normal
What condition must returned items be in?,"Returned items must be unused, undamaged, and in their original packaging.",return_policy.md,unused;undamaged;original packaging,normal
How long does it usually take to process a refund after a return is received?,Refunds are usually processed within 5 to 10 business days after the returned item is received and inspected.,return_policy.md,5 to 10 business days;refund;received,normal
Can customized products be returned?,Customized products cannot be returned.,return_policy.md,customized products;cannot be returned,normal
What should a customer do if a product arrives damaged?,Customers should contact customer support within 7 days of delivery and provide photos of the damaged item.,return_policy.md,7 days;customer support;photos,normal
Can gift cards be returned?,Gift cards cannot be returned.,return_policy.md,gift cards;cannot be returned,normal
How long does standard shipping usually take?,Standard shipping usually takes 3 to 5 business days.,shipping_policy.md,3 to 5 business days;standard shipping,normal
How long does express shipping usually take?,Express shipping usually takes 1 to 2 business days.,shipping_policy.md,1 to 2 business days;express shipping,normal
Which orders qualify for free standard shipping?,Orders above $50 qualify for free standard shipping.,shipping_policy.md,$50;free standard shipping,normal
Why might shipping be delayed?,"Shipping may be delayed during public holidays, extreme weather conditions, or high order volume.",shipping_policy.md,public holidays;extreme weather;high order volume,normal
How can customers track their order?,Customers can track their order using the tracking link sent by email after shipment.,shipping_policy.md,tracking link;email;shipped,normal
What should a customer do if an order has not arrived after the estimated delivery date?,The customer should contact customer support for assistance.,shipping_policy.md,estimated delivery date;customer support;assistance,normal
How long is the limited warranty for most electronic products?,Most electronic products include a one-year limited warranty from the date of purchase.,warranty_policy.md,one-year;limited warranty;date of purchase,normal
What does the warranty cover?,The warranty covers manufacturing defects.,warranty_policy.md,manufacturing defects;warranty,normal
Does the warranty cover accidental damage?,The warranty does not cover accidental damage.,warranty_policy.md,does not cover;accidental damage,normal
What must customers provide for warranty service?,Customers must provide proof of purchase.,warranty_policy.md,proof of purchase;warranty service,normal
How long are warranty claims usually reviewed?,Warranty claims are usually reviewed within 7 business days.,warranty_policy.md,7 business days;warranty claims,normal
What can the company do if a warranty claim is approved?,"The company may repair the product, replace it, or provide store credit.",warranty_policy.md,repair;replace;store credit,normal
What payment methods does the company accept?,"The company accepts credit cards, debit cards, PayPal, and selected digital wallets.",payment_policy.md,credit cards;debit cards;PayPal;digital wallets,normal
When is payment charged?,Payment is charged when the order is placed.,payment_policy.md,charged;order is placed,normal
What happens if payment fails?,The order will not be processed until a valid payment method is provided.,payment_policy.md,payment fails;not be processed;valid payment method,normal
Where are refunds issued?,Refunds are issued to the original payment method.,payment_policy.md,refunds;original payment method,normal
Does the company store full card numbers?,The company does not store full card numbers on its servers.,payment_policy.md,does not store;full card numbers,normal
How can customers create an account?,Customers can create an account using an email address and password.,account_support.md,email address;password;create an account,normal
How can a customer reset a forgotten password?,Customers can reset it using the password reset link on the login page.,account_support.md,password reset link;login page,normal
What account details can customers update?,"Customers can update their email address, shipping address, and phone number.",account_support.md,email address;shipping address;phone number,normal
Can customer support see a customer's password?,Customer support cannot see or share a customer's password.,account_support.md,cannot see;password,normal
How can customers request account deletion?,Customers can request account deletion by contacting customer support.,account_support.md,account deletion;customer support,normal
How long can account deletion take?,Account deletion may take up to 14 business days.,account_support.md,14 business days;account deletion,normal
Can I return a product after 90 days?,The documents do not provide support for returning products after 90 days.,none,not provide;90 days;cannot confirm,unanswerable
Does the company provide international shipping?,The provided documents do not mention international shipping.,none,not mention;international shipping,unanswerable
Can I pay with cryptocurrency?,The provided documents do not mention cryptocurrency as an accepted payment method.,none,not mention;cryptocurrency;payment method,unanswerable
标准配送通常需要多长时间?,标准配送通常需要3到5个工作日。,shipping_policy_zh.md,标准配送;3到5个工作日,normal
加急配送通常需要多长时间?,加急配送通常需要1到2个工作日。,shipping_policy_zh.md,加急配送;1到2个工作日,normal
哪些订单可以享受免费标准配送?,金额超过50美元的订单可享受免费标准配送。,shipping_policy_zh.md,50美元;免费标准配送,normal
配送为什么可能会延迟?,公共假期、极端天气或订单量较高时，配送可能会延迟。,shipping_policy_zh.md,公共假期;极端天气;订单量较高,normal
大多数商品可以在多久内退货?,大多数商品可以在送达后30天内退货。,return_policy_zh.md,30天;退货;送达,normal
退回商品必须满足什么条件?,退回的商品必须未使用、未损坏，并保留原包装。,return_policy_zh.md,未使用;未损坏;原包装,normal
定制商品可以退货吗?,定制商品不能退货。,return_policy_zh.md,定制商品;不能退货,normal
公司接受哪些付款方式?,公司接受信用卡、借记卡、PayPal和部分数字钱包。,payment_policy_zh.md,信用卡;借记卡;PayPal;数字钱包,normal
退款会退到哪里?,退款会退回到原始付款方式。,payment_policy_zh.md,退款;原始付款方式,normal
客服可以查看客户密码吗?,客服不能查看或分享客户密码。,account_support_zh.md,不能查看;密码,normal
客户如何重置忘记的密码?,客户可以使用登录页面上的密码重置链接进行重置。,account_support_zh.md,密码重置链接;登录页面,normal
保修涵盖什么?,保修涵盖制造缺陷。,warranty_policy_zh.md,制造缺陷;保修,normal
90天后我还能退货吗?,文档没有提供90天后退货的依据。,none,没有提供;90天;无法确认,unanswerable
公司提供国际配送吗?,提供的文档没有提到国际配送。,none,没有提到;国际配送,unanswerable
我可以用加密货币付款吗?,提供的文档没有提到加密货币作为可接受的付款方式。,none,没有提到;加密货币;付款方式,unanswerable
