question,language,question_type,answer,expected_answer,expected_source,retrieved_sources,source_match,keyword_recall,context_keyword_recall,answer_groundedness,hallucination_risk,context_precision,context_recall,faithfulness,answer_relevancy,faithfulness_failure_hallucination_risk,citation_accuracy,ragas_context_precision,ragas_context_recall,ragas_faithfulness,ragas_answer_relevancy,source_citation,matched_keywords,missing_keywords,unanswerable_safe,source_pass,keyword_pass,context_pass,groundedness_pass,citation_accuracy_pass,context_precision_pass,context_recall_pass,faithfulness_pass,answer_relevancy_pass,ragas_context_precision_pass,ragas_context_recall_pass,ragas_faithfulness_pass,ragas_answer_relevancy_pass,unanswerable_pass,overall_pass
What is the return period?,en,normal,"# Return Policy

Customers can return most products within 30 days of delivery. Returned items must be unused, undamaged, and in their original packaging. Source: return_policy.md.",Customers can return most products within 30 days of delivery.,return_policy.md,return_policy.md;return_policy.md;warranty_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,30 days;return;delivery,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
What condition must returned items be in?,en,normal,"Returned items must be unused, undamaged, and in their original packaging. Refunds are usually processed within 5 to 10 business days after the returned item is received and inspected. Source: return_policy.md.","Returned items must be unused, undamaged, and in their original packaging.",return_policy.md,return_policy.md;return_policy.md;warranty_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,unused;undamaged;original packaging,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
How long does it usually take to process a refund after a return is received?,en,normal,"Refunds are usually processed within 5 to 10 business days after the returned item is received and inspected. # Return Policy

Customers can return most products within 30 days of delivery. Source: return_policy.md.",Refunds are usually processed within 5 to 10 business days after the returned item is received and inspected.,return_policy.md,return_policy.md;payment_policy.md;account_support.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,5 to 10 business days;refund;received,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
Can customized products be returned?,en,normal,"Final sale items, gift cards, and customized products cannot be returned. # Return Policy

Customers can return most products within 30 days of delivery. Source: return_policy.md.",Customized products cannot be returned.,return_policy.md,return_policy.md;warranty_policy.md;warranty_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,customized products;cannot be returned,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
What should a customer do if a product arrives damaged?,en,normal,"If a product arrives damaged or defective, customers should contact customer support within 7 days of delivery and provide photos of the damaged item. # Return Policy

Customers can return most products within 30 days of delivery. Source: return_policy.md.",Customers should contact customer support within 7 days of delivery and provide photos of the damaged item.,return_policy.md,return_policy.md;warranty_policy.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,7 days;customer support;photos,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
Can gift cards be returned?,en,normal,"Final sale items, gift cards, and customized products cannot be returned. # Return Policy

Customers can return most products within 30 days of delivery. Source: return_policy.md.",Gift cards cannot be returned.,return_policy.md,return_policy.md;payment_policy.md;account_support.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,gift cards;cannot be returned,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
How long does standard shipping usually take?,en,normal,"# Shipping Policy

Standard shipping usually takes 3 to 5 business days. Express shipping usually takes 1 to 2 business days. Source: shipping_policy.md.",Standard shipping usually takes 3 to 5 business days.,shipping_policy.md,shipping_policy.md;account_support.md;warranty_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,3 to 5 business days;standard shipping,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
How long does express shipping usually take?,en,normal,"Express shipping usually takes 1 to 2 business days. # Shipping Policy

Standard shipping usually takes 3 to 5 business days. Source: shipping_policy.md.",Express shipping usually takes 1 to 2 business days.,shipping_policy.md,shipping_policy.md;account_support.md;warranty_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1 to 2 business days;express shipping,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
Which orders qualify for free standard shipping?,en,normal,"Orders above $50 qualify for free standard shipping. # Shipping Policy

Standard shipping usually takes 3 to 5 business days. Source: shipping_policy.md.",Orders above $50 qualify for free standard shipping.,shipping_policy.md,shipping_policy.md;account_support.md;shipping_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,$50;free standard shipping,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
Why might shipping be delayed?,en,normal,"Shipping delays may occur during public holidays, extreme weather conditions, or periods of high order volume. # Shipping Policy

Standard shipping usually takes 3 to 5 business days. Source: shipping_policy.md.","Shipping may be delayed during public holidays, extreme weather conditions, or high order volume.",shipping_policy.md,shipping_policy.md;return_policy.md;account_support.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,public holidays;extreme weather;high order volume,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
