question,language,question_type,answer,expected_answer,expected_source,retrieved_sources,source_match,keyword_recall,context_keyword_recall,answer_groundedness,hallucination_risk,context_precision,context_recall,faithfulness,answer_relevancy,faithfulness_failure_hallucination_risk,citation_accuracy,proxy_context_precision,proxy_context_recall,proxy_faithfulness,proxy_answer_relevancy,ragas_context_precision,ragas_context_recall,ragas_faithfulness,ragas_answer_relevancy,source_citation,matched_keywords,missing_keywords,unanswerable_safe,source_pass,keyword_pass,context_pass,groundedness_pass,citation_accuracy_pass,context_precision_pass,context_recall_pass,faithfulness_pass,answer_relevancy_pass,proxy_context_precision_pass,proxy_context_recall_pass,proxy_faithfulness_pass,proxy_answer_relevancy_pass,ragas_context_precision_pass,ragas_context_recall_pass,ragas_faithfulness_pass,ragas_answer_relevancy_pass,unanswerable_pass,overall_pass
Can I return a product after 45 days?,en,unanswerable,I could not find enough information in the provided documents to answer this safely. Reason: the provided documents do not provide support for returning products after 45 days. The documents only mention 10 business days. I cannot confirm returns after 45 days.,The documents only mention returns within 30 days of delivery.,none,return_policy.md;warranty_policy.md;return_policy.md,,,,,,,,,,,,,,,,,,,,0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1
Can I return a product after 90 days if it is unopened?,en,unanswerable,I could not find enough information in the provided documents to answer this safely. Reason: the provided documents do not provide support for returning products after 90 days. The documents only mention 10 business days. I cannot confirm returns after 90 days.,The documents only mention returns within 30 days of delivery.,none,return_policy.md;warranty_policy.md;account_support.md,,,,,,,,,,,,,,,,,,,,0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1
Do you ship outside the country?,en,unanswerable,I could not find enough information in the provided documents to answer this safely. Reason: low question-evidence coverage: 0.00.,The documents do not mention international shipping.,none,return_policy.md;warranty_policy.md;shipping_policy.md,,,,,,,,,,,,,,,,,,,,0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1
Do you offer overnight shipping?,en,unanswerable,I could not find enough information in the provided documents to answer this safely. Reason: specific question term not found in evidence: overnight.,The documents mention standard shipping and express shipping but do not mention overnight shipping.,none,shipping_policy.md;return_policy.md;warranty_policy.md,,,,,,,,,,,,,,,,,,,,0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1
Can I pay with Apple Pay?,en,unanswerable,I could not find enough information in the provided documents to answer this safely. Reason: low question-evidence coverage: 0.00.,The documents mention selected digital wallets but do not specifically mention Apple Pay.,none,account_support.md;return_policy.md;shipping_policy.md,,,,,,,,,,,,,,,,,,,,0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1
Can I use cryptocurrency or Bitcoin to pay?,en,unanswerable,I could not find enough information in the provided documents to answer this safely. Reason: the provided documents do not mention cryptocurrency as an accepted payment method.,The documents do not mention cryptocurrency as an accepted payment method.,none,account_support.md;return_policy.md;shipping_policy.md,,,,,,,,,,,,,,,,,,,,0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1
Does the company provide a two-year warranty?,en,unanswerable,I could not find enough information in the provided documents to answer this safely. Reason: the provided documents do not mention a 2 year warranty.,The documents only mention a one-year limited warranty for most electronic products.,none,warranty_policy.md;warranty_policy.md;payment_policy.md,,,,,,,,,,,,,,,,,,,,0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1
Can water-damaged electronics be repaired under warranty?,en,normal,"Products repaired or replaced under warranty do not restart the original warranty period. The warranty covers manufacturing defects but does not cover accidental damage, misuse, water damage, or normal wear and tear. Source: warranty_policy.md.",The warranty does not cover water damage.,warranty_policy.md,warranty_policy.md;warranty_policy.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,water damage;does not cover,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
Can customized products be returned?,en,normal,"Final sale items, gift cards, and customized products cannot be returned. # Return Policy

Customers can return most products within 30 days of delivery. Source: return_policy.md.",Customized products cannot be returned.,return_policy.md,return_policy.md;warranty_policy.md;warranty_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,customized products;cannot be returned,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
What happens if my payment fails?,en,normal,"If payment fails, the order will not be processed until a valid payment method is provided. # Payment Policy

The company accepts credit cards, debit cards, PayPal, and selected digital wallets. Source: payment_policy.md.",If payment fails the order will not be processed until a valid payment method is provided.,payment_policy.md,payment_policy.md;shipping_policy.md;return_policy.md,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,payment fails;valid payment method,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1
